PCODE,SHORT_NAME,LONG_NAME,Units,Threshold_Val_txt,Threshold_Type
95,Specific cond at 25C,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",µS/cm,900 (1600),SMCL-CA
400,pH,"pH, water, unfiltered, field, standard units",standard units,6.5 - 8.5,SMCL-US
613,"Nitrite, wf","Nitrite, water, filtered, milligrams per liter as nitrogen",mg/L,1,MCL-US
631,"NO2+NO3, wf","Nitrite plus nitrate, water, filtered, milligrams per liter as nitrogen",mg/L,10,MCL-US
940,"Chloride, wf","Chloride, water, filtered, milligrams per liter",mg/L,250 (500),SMCL-CA
945,"Sulfate, wf","Sulfate, water, filtered, milligrams per liter",mg/L,250 (500),SMCL-CA
950,"Fluoride, wf","Fluoride, water, filtered, milligrams per liter",mg/L,2,MCL-CA
1000,"Arsenic, wf","Arsenic, water, filtered, micrograms per liter",µg/L,10,MCL-US
1005,"Barium, wf","Barium, water, filtered, micrograms per liter",µg/L,1000,MCL-CA
1010,"Beryllium, w,f","Beryllium, water, filtered, micrograms per liter",µg/L,4,MCL-US
1020,"Boron, wf","Boron, water, filtered, micrograms per liter",µg/L,6000,HBSL
1025,"Cadmium, wf","Cadmium, water, filtered, micrograms per liter",µg/L,5,MCL-US
1030,"Chromium, wf","Chromium, water, filtered, micrograms per liter",µg/L,50,MCL-CA
1032,"Chromium(VI), wf","Chromium(VI), water, filtered, micrograms per liter",µg/L,10,MCL-CA
1040,"Copper, wf","Copper, water, filtered, micrograms per liter",µg/L,1300,AL-US
1046,"Iron, wf","Iron, water, filtered, micrograms per liter",µg/L,300,SMCL-CA
1049,"Lead, wf","Lead, water, filtered, micrograms per liter",µg/L,15,AL-US
1056,"Manganese, wf","Manganese, water, filtered, micrograms per liter",µg/L,300,HBSL
1057,"Thallium, wf","Thallium, water, filtered, micrograms per liter",µg/L,2,MCL-US
1060,"Molybdenum, wf","Molybdenum, water, filtered, micrograms per liter",µg/L,40,HBSL
1065,"Nickel, wf","Nickel, water, filtered, micrograms per liter",µg/L,100,MCL-CA
1075,"Silver, wf","Silver, water, filtered, micrograms per liter",µg/L,100,HBSL
1080,"Strontium, wf","Strontium, water, filtered, micrograms per liter",µg/L,4000,HBSL
1085,"Vanadium, wf","Vanadium, water, filtered, micrograms per liter",µg/L,50,NL-CA
1090,"Zinc, wf","Zinc, water, filtered, micrograms per liter",µg/L,2000,HBSL
1095,"Antimony, wf","Antimony, water, filtered, micrograms per liter",µg/L,6,MCL-US
1106,"Aluminum, wf","Aluminum, water, filtered, micrograms per liter",µg/L,1000,MCL-CA
